circuitId,circuit_name,circuit_location,circuit_country,circuit_nationality
1,Albert Park Grand Prix Circuit,Melbourne,Australia,Australian
2,Sepang International Circuit,Kuala Lumpur,Malaysia,Malaysian
3,Bahrain International Circuit,Sakhir,Bahrain,Bahraini
4,Circuit de Barcelona-Catalunya,Montmeló,Spain,Spanish
5,Istanbul Park,Istanbul,Turkey,Turkish
6,Circuit de Monaco,Monte-Carlo,Monaco,Monegasque
7,Circuit Gilles Villeneuve,Montreal,Canada,Canadian
8,Circuit de Nevers Magny-Cours,Magny Cours,France,French
9,Silverstone Circuit,Silverstone,UK,British
10,Hockenheimring,Hockenheim,Germany,German
11,Hungaroring,Budapest,Hungary,Hungarian
12,Valencia Street Circuit,Valencia,Spain,Spanish
13,Circuit de Spa-Francorchamps,Spa,Belgium,Belgian
14,Autodromo Nazionale di Monza,Monza,Italy,Italian
15,Marina Bay Street Circuit,Marina Bay,Singapore,Singaporean
16,Fuji Speedway,Oyama,Japan,Japanese
17,Shanghai International Circuit,Shanghai,China,Chinese
18,Autódromo José Carlos Pace,São Paulo,Brazil,Brazilian
19,Indianapolis Motor Speedway,Indianapolis,USA,American
20,Nürburgring,Nürburg,Germany,German
21,Autodromo Enzo e Dino Ferrari,Imola,Italy,Italian
22,Suzuka Circuit,Suzuka,Japan,Japanese
80,Las Vegas Strip Street Circuit,Las Vegas,USA,American
24,Yas Marina Circuit,Abu Dhabi,UAE,Emirati
25,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,Argentine
26,Circuito de Jerez,Jerez de la Frontera,Spain,Spanish
27,Autódromo do Estoril,Estoril,Portugal,Portuguese
28,Okayama International Circuit,Okayama,Japan,Japanese
29,Adelaide Street Circuit,Adelaide,Australia,Australian
30,Kyalami,Midrand,South Africa,South African
31,Donington Park,Castle Donington,UK,British
32,Autódromo Hermanos Rodríguez,Mexico City,Mexico,Mexican
33,Phoenix street circuit,Phoenix,USA,American
34,Circuit Paul Ricard,Le Castellet,France,French
35,Korean International Circuit,Yeongam County,Korea,South Korean
36,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,Brazilian
37,Detroit Street Circuit,Detroit,USA,American
38,Brands Hatch,Kent,UK,British
39,Circuit Park Zandvoort,Zandvoort,Netherlands,Dutch
40,Zolder,Heusden-Zolder,Belgium,Belgian
41,Dijon-Prenois,Dijon,France,French
42,Fair Park,Dallas,USA,American
43,Long Beach,California,USA,American
44,Las Vegas Street Circuit,Nevada,USA,American
45,Jarama,Madrid,Spain,Spanish
46,Watkins Glen,New York State,USA,American
47,Scandinavian Raceway,Anderstorp,Sweden,Swedish
48,Mosport International Raceway,Ontario,Canada,Canadian
49,Montjuïc,Barcelona,Spain,Spanish
50,Nivelles-Baulers,Brussels,Belgium,Belgian
51,Charade Circuit,Clermont-Ferrand,France,French
52,Circuit Mont-Tremblant,Quebec,Canada,Canadian
53,Rouen-Les-Essarts,Rouen,France,French
54,Le Mans,Le Mans,France,French
55,Reims-Gueux,Reims,France,French
56,Prince George Circuit,Eastern Cape Province,South Africa,South African
57,Zeltweg,Styria,Austria,Austrian
58,Aintree,Liverpool,UK,British
59,Circuito da Boavista,Oporto,Portugal,Portuguese
60,Riverside International Raceway,California,USA,American
61,AVUS,Berlin,Germany,German
62,Monsanto Park Circuit,Lisbon,Portugal,Portuguese
63,Sebring International Raceway,Florida,USA,American
64,Ain Diab,Casablanca,Morocco,Moroccan
65,Pescara Circuit,Pescara,Italy,Italian
66,Circuit Bremgarten,Bern,Switzerland,Swiss
67,Circuit de Pedralbes,Barcelona,Spain,Spanish
68,Buddh International Circuit,Uttar Pradesh,India,Indian
69,Circuit of the Americas,Austin,USA,American
70,Red Bull Ring,Spielberg,Austria,Austrian
71,Sochi Autodrom,Sochi,Russia,Russian
73,Baku City Circuit,Baku,Azerbaijan,Azerbaijani
75,Autódromo Internacional do Algarve,Portimão,Portugal,Portuguese
76,Autodromo Internazionale del Mugello,Mugello,Italy,Italian
77,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,Saudi Arabian
78,Losail International Circuit,Al Daayen,Qatar,Qatari
79,Miami International Autodrome,Miami,USA,American
